Work Order,Start Date,Start Time,Duration(hrs),Contract,Type,Location,Addl Loc,Description,Status,Substatus,Project Manager,Flags,End Date,End Time,GR,Suites
108317,12/22/2018,12:00:00 AM,384,INT00001,SITEMNT,STF,,Platform Approval Required,ACTIVE,CONF,Kristy Varga,,1/7/2019,12:00:00 AM,,
108681,12/22/2018,12:00:00 AM,384,INT00001,SITEMNT,BLD,,Platform Approval Required,ACTIVE,CONF,Kristy Varga,,1/7/2019,12:00:00 AM,,
108681,12/22/2018,12:00:00 AM,384,INT00001,SITEMNT,STF,,Platform Approval Required,CANCEL,CONF,Kristy Varga,,1/7/2019,12:00:00 AM,,
108725,2/9/2019,2:00:00 AM,32,AK66005,SETUP,STF,,IGA W ROCHESTER MN DASD Setup,ACTIVE,CONF,Daljeet Singh,,2/10/2019,10:00:00 AM,GR,
108725,2/10/2019,10:00:00 AM,120,CFTVMCL,TEST,STF,BLD IRU,IGA W ROCHESTER MN,ACTIVE,CONF,Daljeet Singh,EBRS,2/15/2019,10:00:00 AM,GR,
108725,2/10/2019,10:00:00 AM,120,AK66005,TEST,STF,,IGA W ROCHESTER MN,ACTIVE,CONF,Daljeet Singh,,2/15/2019,10:00:00 AM,GR,BIRCH
108725,2/15/2019,10:00:00 AM,24,AK66005,BREAKDWN,STF,,IGA W ROCHESTER MN DASD breakdown,ACTIVE,CONF,Daljeet Singh,,2/16/2019,10:00:00 AM,GR,
108725,2/10/2019,9:00:00 AM,120,AK66004,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,EXP,2/15/2019,9:00:00 AM,GR,C-D/S
108725,2/10/2019,9:00:00 AM,120,CFTVMCL,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,EBRS,2/15/2019,9:00:00 AM,GR,
108725,2/10/2019,9:00:00 AM,120,AK66005,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,,2/15/2019,9:00:00 AM,GR,BIRCH
108725,2/10/2019,9:00:00 AM,120,AK66007,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,EXP,2/15/2019,9:00:00 AM,GR,D-D/S
108725,2/10/2019,9:00:00 AM,120,AK66008,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,,2/15/2019,9:00:00 AM,GR,ASH
108725,2/10/2019,9:00:00 AM,120,CFTT6KG,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,EXP,2/15/2019,9:00:00 AM,GR,
108725,2/10/2019,10:00:00 AM,120,AK66008,TEST,STF,,IGA W ROCHESTER MN,CANCEL,CONF,Daljeet Singh,,2/15/2019,10:00:00 AM,GR,ASH
108731,12/22/2018,8:00:00 AM,384,INT00001,SITEMNT,RTP,,Platform Approval Required,ACTIVE,CONF,Kristy Varga,,1/7/2019,8:00:00 AM,,
108731,12/22/2018,12:00:00 AM,384,INT00001,SITEMNT,RTP,,Platform Approval Required,CANCEL,CONF,Kristy Varga,,1/7/2019,12:00:00 AM,,
108764,7/18/2019,7:00:00 AM,96,CFTK8TQ,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF CS Setup,CANCEL,CONF,Virupaksheswara Ramapragada,,7/22/2019,7:00:00 AM,,
108764,7/20/2019,11:00:00 PM,32,CFTK8SQ,SETUP,BLD,,BLUE CROSS AND BLUE SHIELD OF Native set,CANCEL,CONF,Virupaksheswara Ramapragada,,7/22/2019,7:00:00 AM,,ASPEN OFFICE-225
108764,7/22/2019,7:00:00 AM,72,CFTK8SQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,7/25/2019,7:00:00 AM,,ASPEN OFFICE-226
108764,7/22/2019,7:00:00 AM,72,CFTK87Q,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,7/25/2019,7:00:00 AM,,BEAVER_CREEK
108764,7/22/2019,7:00:00 AM,72,CFTL11Q,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,EBRS,7/25/2019,7:00:00 AM,,
108764,7/22/2019,7:00:00 AM,72,CFTK8TQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,7/25/2019,7:00:00 AM,,VAIL
108764,7/22/2019,7:00:00 AM,72,CFTLNLQ,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,7/25/2019,7:00:00 AM,,
108764,7/22/2019,7:00:00 AM,72,CFTDNTR,TEST,BLD,,BLUE CROSS AND BLUE SHIELD OF,CANCEL,CONF,Virupaksheswara Ramapragada,,7/25/2019,7:00:00 AM,,
108764,7/24/2019,9:00:00 AM,8,CFTSQKH,TEST,STF,BLD IRU RTP,BLUE CROSS & BLUE SHIELD,CANCEL,CONF,Virupaksheswara Ramapragada,EXP,7/24/2019,5:00:00 PM,,
109286,1/1/2019,8:00:00 AM,24,INTSTF01,SITEMNT,STF,,Site hold,ACTIVE,CONF,Kristy Varga,,1/2/2019,8:00:00 AM,,
109286,4/19/2019,8:00:00 AM,62,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,4/21/2019,10:00:00 PM,,
109286,5/11/2019,8:00:00 AM,48,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,5/13/2019,8:00:00 AM,,
109286,5/25/2019,12:00:00 AM,72,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,5/28/2019,12:00:00 AM,,
109286,6/15/2019,12:00:00 AM,48,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,6/17/2019,12:00:00 AM,,
109286,7/4/2019,12:00:00 AM,96,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,7/8/2019,12:00:00 AM,,
109286,8/31/2019,12:00:00 AM,72,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,9/3/2019,12:00:00 AM,,
109286,11/27/2019,12:00:00 AM,120,INTSTF01,SITEMNT,STF,,Site Hold,ACTIVE,CONF,Kristy Varga,,12/2/2019,12:00:00 AM,,
109286,12/23/2019,12:00:00 AM,216,INTSTF01,SITEMNT,STF,,site hold,ACTIVE,CONF,Kristy Varga,,1/1/2020,12:00:00 AM,,
109433,2/6/2019,2:00:00 PM,4,CFTVMCL,TEST,STF,BLD IRU,IGA W ROCHESTER MN,ACTIVE,CONF,Daljeet Singh,EBRS,2/6/2019,6:00:00 PM,GR,KATSURA
109504,2/19/2019,8:00:00 AM,48,CFTLKXF,TEST,BLD,,AK STEEL CORP,CANCEL,CONF,Bonda Madhusudana Rao,EBRS,2/21/2019,8:00:00 AM,,ASPEN
109504,2/19/2019,8:00:00 AM,48,CFTLKYF,TEST,BLD,,AK STEEL CORP,CANCEL,CONF,Bonda Madhusudana Rao,,2/21/2019,8:00:00 AM,,BEAVER_CREEK
109504,3/12/2019,8:00:00 AM,48,CFTLKYF,TEST,BLD,,AK STEEL CORP,CANCEL,CONF,Bonda Madhusudana Rao,,3/14/2019,8:00:00 AM,,STEAMBOAT
109504,3/12/2019,8:00:00 AM,48,CFTLKXF,TEST,BLD,,AK STEEL CORP,CANCEL,CONF,Bonda Madhusudana Rao,EBRS,3/14/2019,8:00:00 AM,,OFFICE-229 STEAMBOAT
109504,4/1/2019,2:00:00 AM,32,CFTLKXF,SETUP,BLD,STF,AK STEEL CORP Shark set-up,CANCEL,WIP,Bonda Madhusudana Rao,,4/2/2019,10:00:00 AM,,
109504,4/2/2019,10:00:00 AM,48,CFTLKXF,TEST,BLD,STF,AK STEEL CORP,CANCEL,WIP,Bonda Madhusudana Rao,,4/4/2019,10:00:00 AM,,
109504,4/2/2019,10:00:00 AM,48,CFTLKYF,TEST,BLD,STF,AK STEEL CORP,CANCEL,WIP,Bonda Madhusudana Rao,,4/4/2019,10:00:00 AM,,
109504,4/2/2019,10:00:00 AM,48,CFTLKXF,TEST,BLD,STF,AK STEEL CORP,CANCEL,WIP,Bonda Madhusudana Rao,,4/4/2019,10:00:00 AM,,
109504,4/4/2019,10:00:00 AM,24,CFTLKXF,SETUP,BLD,STF,AK STEEL CORP Shark brk dwn,CANCEL,WIP,Bonda Madhusudana Rao,,4/5/2019,10:00:00 AM,,
109504,5/28/2019,8:00:00 AM,48,CFTLKXF,TEST,BLD,,AK STEEL CORP,CANCEL,PEND,Bonda Madhusudana Rao,EBRS,5/30/2019,8:00:00 AM,,OFFICE-227 STEAMBOAT
109504,5/28/2019,8:00:00 AM,48,CFTLKYF,TEST,BLD,,AK STEEL CORP,CANCEL,PEND,Bonda Madhusudana Rao,,5/30/2019,8:00:00 AM,,STEAMBOAT
109577,2/11/2019,8:00:00 AM,120,CFTQ11G,TEST,RTP,,IGA LATIN AMERICA,ACTIVE,CONF,Noor Mohammed,,2/16/2019,8:00:00 AM,GR,KILL_DEVIL_HILLS
109615,9/27/2018,9:00:00 AM,"2,296",INTBLD01,MAINT,BLD,,Hold on all ROP resources,ACTIVE,CONF,Kristy Varga,,1/1/2019,12:00:00 AM,,
109615,11/26/2018,9:00:00 AM,"1,000",INTBLD01,MAINT,BLD,,I series hold Dan Shea,ACTIVE,CONF,Kristy Varga,,1/7/2019,1:00:00 AM,,
109615,12/12/2018,8:00:00 AM,"1,209",INTBLD01,MAINT,BLD,,XIV hold,ACTIVE,CONF,Kristy Varga,,1/31/2019,5:00:00 PM,,
109615,1/30/2019,9:00:00 AM,"1,080",INTBLD01,MAINT,BLD,,KS DASD HOLD,ACTIVE,CONF,Kristy Varga,,3/16/2019,10:00:00 AM,,
109615,5/19/2019,6:00:00 AM,112,INTBLD01,MAINT,BLD,,Intel hold,ACTIVE,CONF,Kristy Varga,,5/23/2019,10:00:00 PM,,
109681,6/10/2019,4:00:00 PM,16,CFTRFQC,SETUP,BLD,,PACIFIC SUNWEAR OF CALIFORNIA INC Lpar,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/11/2019,8:00:00 AM,GR,ELDORA
109681,6/10/2019,4:00:00 PM,16,CFTJ5YL,SETUP,BLD,,PACIFIC SUNWEAR OF CALIFORNIA INC C/S &,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/11/2019,8:00:00 AM,GR,ELDORA
109681,6/11/2019,8:00:00 AM,72,CFTRFQC,TEST,BLD,,PACIFIC SUNWEAR OF CALIFORNIA INC,ACTIVE,CONF,ASHOK P KRISHNA MURTHY,,6/14/2019,8:00:00 AM,GR,ELDORA
