I agree,Bot_Control_Approve_Response
Sweet,Bot_Control_Approve_Response
You read my mind,Bot_Control_Approve_Response
Yes,Bot_Control_Approve_Response
"Yeah, that's it!",Bot_Control_Approve_Response
Very well. Let's do it.,Bot_Control_Approve_Response
This is alright,Bot_Control_Approve_Response
Indeed!,Bot_Control_Approve_Response
I like that,Bot_Control_Approve_Response
Great,Bot_Control_Approve_Response
That is what I need,Bot_Control_Approve_Response
Got it,Bot_Control_Approve_Response
For sure!,Bot_Control_Approve_Response
Correct,Bot_Control_Approve_Response
All right,Bot_Control_Approve_Response
Affirmative. That's what I'm looking for.,Bot_Control_Approve_Response
Sure thing!,Bot_Control_Approve_Response
That is precisely what I was looking for,Bot_Control_Approve_Response
That is right,Bot_Control_Approve_Response
That is the proper response.,Bot_Control_Approve_Response
That's exactly what I want,Bot_Control_Approve_Response
list of reportees of ghonavar@in.ibm.com,Reportees
Who are my Reportees?,Reportees
Who are reporting to me?,Reportees
List my reportees,Reportees
tell me about the event on Monday,showConference
search,showConference
search for conference,showConference
show event information,showConference
show conference,showConference
conference data,showConference
what is the meeting information,showConference
where is the event,showConference
query the event data for events in Friedrichshafen,showConference
give me information on conferences in Australia,showConference
show data for events in New York,showConference
do you have information on an upcoming event in San Francisco?,showConference
When is the meeting,showConference
what is the information for conference,showConference
